Vehicle_1,Vehicle_2,Vehicle_3,Actual_Winner,Lane,Lap_1_Track,Lap_1_Len,Lap_2_Track,Lap_2_Len,Lap_3_Track,Lap_3_Len,Predicted_Winner,Top_Prob,Was_Correct,Timestamp,Sim_Predicted_Winner,ML_Predicted_Winner,Sim_Top_Prob,ML_Top_Prob,Sim_Was_Correct,ML_Was_Correct
Supercar,Stock Car,Car,Car,Lap 3,Bumpy,30.0,Dirt,40.0,Expressway,30.0,Supercar,0.6326,0.0,,,,,,,
Monster Truck,ORV,SUV,Monster Truck,Lap 1,Highway,10.0,Dirt,10.0,Potholes,80.0,ORV,0.7363992636007365,0.0,,,,,,,
Supercar,Monster Truck,Car,Car,Lap 3,Bumpy,30.0,Highway,50.0,Desert,20.0,Monster Truck,0.7787992212007786,0.0,,,,,,,
Stock Car,Monster Truck,SUV,Stock Car,Lap 1,Dirt,30.0,Desert,40.0,Potholes,30.0,SUV,0.999998000004,0.0,,,,,,,
Car,Supercar,ORV,ORV,Lap 1,Desert,10.0,Potholes,10.0,Bumpy,80.0,ORV,0.927999072000928,1.0,,,,,,,
Monster Truck,Stock Car,ORV,ORV,Lap 1,Dirt,30.0,Desert,10.0,Bumpy,60.0,ORV,0.9993990006009994,1.0,,,,,,,
Sports Car,ATV,Motorcycle,Motorcycle,Lap 2,Potholes,30.0,Potholes,30.0,Expressway,40.0,Sports Car,0.8455991544008455,0.0,,,,,,,
Motorcycle,Car,SUV,Motorcycle,Lap 3,Potholes,35.0,Dirt,35.0,Desert,30.0,SUV,0.999998000004,0.0,,,,,,,
Monster Truck,ATV,Sports Car,Sports Car,Lap 1,Desert,20.0,Expressway,50.0,Desert,30.0,Monster Truck,0.9443990556009444,0.0,,,,,,,
ORV,Supercar,SUV,SUV,Lap 2,Dirt,70.0,Desert,10.0,Dirt,20.0,ORV,0.6396,0.0,,,,,,,
Stock Car,Supercar,Monster Truck,Stock Car,Lap 1,Highway,10.0,Desert,45.0,Desert,45.0,Supercar,0.668999331000669,0.0,,,,,,,
ORV,Car,Stock Car,ORV,Lap 3,Desert,10.0,Bumpy,60.0,Expressway,30.0,ORV,0.9985990014009986,1.0,,,,,,,
ORV,Stock Car,Sports Car,Stock Car,Lap 2,Bumpy,20.0,Desert,10.0,Potholes,70.0,ORV,0.9945990054009946,0.0,,,,,,,
ORV,Car,Stock Car,Stock Car,Lap 1,Desert,40.0,Potholes,20.0,Desert,40.0,ORV,0.999998000004,0.0,,,,,,,
Stock Car,Sports Car,ATV,Sports Car,Lap 1,Desert,20.0,Dirt,50.0,Highway,30.0,Stock Car,0.8368,0.0,,,,,,,
Sports Car,ATV,Stock Car,ATV,Lap 3,Desert,25.0,Potholes,50.0,Dirt,25.0,Stock Car,0.848999151000849,0.0,,,,,,,
SUV,Motorcycle,Sports Car,Motorcycle,Lap 3,Potholes,30.0,Bumpy,40.0,Desert,30.0,SUV,0.999998000004,0.0,,,,,,,
ORV,Stock Car,Motorcycle,ORV,Lap 3,Highway,30.0,Bumpy,50.0,Expressway,20.0,ORV,0.999998000004,1.0,,,,,,,
Supercar,Sports Car,Stock Car,Sports Car,Lap 1,Highway,30.0,Bumpy,50.0,Highway,20.0,Supercar,0.9951990048009952,0.0,,,,,,,
Monster Truck,Supercar,Car,Monster Truck,Lap 1,Dirt,20.0,Potholes,50.0,Highway,30.0,Supercar,0.999998000004,0.0,,,,,,,
Monster Truck,Sports Car,ATV,ATV,Lap 1,Desert,10.0,Dirt,10.0,Desert,80.0,Monster Truck,0.9553990446009554,0.0,,,,,,,
